"nome_mesoreg";"DIMENSAO";"bs_mean";"nMun";"nExec";"munAmostrados"
"Nordeste Paraense";"%";49,3860606060606;3;1;"1506609,1507961,1504703"
"Nordeste Paraense";"% ";40,6816666666667;3;1;"1506609,1507961,1504703"
"Nordeste Paraense";"% da população emdomicílios";58,88;3;1;"1506609,1507961,1504703"
"Nordeste Paraense";"% da população emdomicílios ";36,9383333333333;3;1;"1506609,1507961,1504703"
"Nordeste Paraense";"0 a 1 ";38,6288888888889;3;1;"1506609,1507961,1504703"
"Nordeste Paraense";"Mortes/1.000 habitantes ";54,6633333333333;3;1;"1506609,1507961,1504703"
"Nordeste Paraense";"Valor (R$ mil)";56,6466666666667;3;1;"1506609,1507961,1504703"
"Sudeste Paraense";"%";56,1890909090909;3;1;"1504208,1500131,1507458"
"Sudeste Paraense";"% ";33,6566666666667;3;1;"1504208,1500131,1507458"
"Sudeste Paraense";"% da população emdomicílios";66,58;3;1;"1504208,1500131,1507458"
"Sudeste Paraense";"% da população emdomicílios ";39,8983333333333;3;1;"1504208,1500131,1507458"
"Sudeste Paraense";"0 a 1 ";41,4077777777778;3;1;"1504208,1500131,1507458"
"Sudeste Paraense";"Mortes/1.000 habitantes ";59,2066666666667;3;1;"1504208,1500131,1507458"
"Sudeste Paraense";"Valor (R$ mil)";70,6;3;1;"1504208,1500131,1507458"
"Marajó";"%";42,1315151515152;3;1;"1506401,1501105,1502004"
"Marajó";"% ";54,295;3;1;"1506401,1501105,1502004"
"Marajó";"% da população emdomicílios";41,8933333333333;3;1;"1506401,1501105,1502004"
"Marajó";"% da população emdomicílios ";20,6333333333333;3;1;"1506401,1501105,1502004"
"Marajó";"0 a 1 ";51,2222222222222;3;1;"1506401,1501105,1502004"
"Marajó";"Mortes/1.000 habitantes ";57,3;3;1;"1506401,1501105,1502004"
"Marajó";"Valor (R$ mil)";42,0433333333333;3;1;"1506401,1501105,1502004"
"Baixo Amazonas";"%";51,5842424242424;3;1;"1504802,1500503,1506807"
"Baixo Amazonas";"% ";61,495;3;1;"1504802,1500503,1506807"
"Baixo Amazonas";"% da população emdomicílios";57,6866666666667;3;1;"1504802,1500503,1506807"
"Baixo Amazonas";"% da população emdomicílios ";25,935;3;1;"1504802,1500503,1506807"
"Baixo Amazonas";"0 a 1 ";32,7422222222222;3;1;"1504802,1500503,1506807"
"Baixo Amazonas";"Mortes/1.000 habitantes ";59,9866666666667;3;1;"1504802,1500503,1506807"
"Baixo Amazonas";"Valor (R$ mil)";64,6633333333333;3;1;"1504802,1500503,1506807"
"Sudoeste Paraense";"%";48,0387878787879;3;1;"1505486,1500602,1503606"
"Sudoeste Paraense";"% ";53,71;3;1;"1505486,1500602,1503606"
"Sudoeste Paraense";"% da população emdomicílios";51,3633333333333;3;1;"1505486,1500602,1503606"
"Sudoeste Paraense";"% da população emdomicílios ";31,1616666666667;3;1;"1505486,1500602,1503606"
"Sudoeste Paraense";"0 a 1 ";39,4066666666667;3;1;"1505486,1500602,1503606"
"Sudoeste Paraense";"Mortes/1.000 habitantes ";59,7633333333333;3;1;"1505486,1500602,1503606"
"Sudoeste Paraense";"Valor (R$ mil)";66,5766666666667;3;1;"1505486,1500602,1503606"
"Metropolitana de Belém";"%";64,8678787878788;3;1;"1506351,1501501,1502400"
"Metropolitana de Belém";"% ";53,5816666666667;3;1;"1506351,1501501,1502400"
"Metropolitana de Belém";"% da população emdomicílios";74,6666666666667;3;1;"1506351,1501501,1502400"
"Metropolitana de Belém";"% da população emdomicílios ";48,25;3;1;"1506351,1501501,1502400"
"Metropolitana de Belém";"0 a 1 ";51,3333333333333;3;1;"1506351,1501501,1502400"
