                                                     car;area;uf;mun;modulo_fiscal;tipo_imovel;situacao;condicao                                                     
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
 PA-1500107-D9820B8C1F1E4B128B11BCC181BB0F4B;1.4133;PA;Abaetetuba;0.0202;IRU;AT;Aguardando analise
 PA-1500107-92A6A37F868746968B576D8FE67B07EB;2.5744;PA;Abaetetuba;0.0368;IRU;AT;Aguardando analise
 PA-1500107-DC9EAD312C624311926ACD1A1AF8598F;4.7109;PA;Abaetetuba;0.0673;IRU;AT;Aguardando analise
 PA-1500107-46469B0D80E446849B31B4EC2B95C3A6;31.6945;PA;Abaetetuba;0.4528;IRU;AT;Aguardando analise
 PA-1500107-95A485064D56436593370E84455639A8;93.2719;PA;Abaetetuba;1.3325;IRU;AT;Aguardando análise, não passível de revisão de dados
 PA-1500107-B7DB4B6CF06645B698BF0813FBC76611;26.3840;PA;Abaetetuba;0.3769;IRU;AT;Aguardando análise, não passível de revisão de dados
 PA-1500107-EF411B25F62443E4B44E3CE660BB354B;3.3732;PA;Abaetetuba;0.0482;IRU;AT;Aguardando análise, não passível de revisão de dados
 PA-1500107-46D38BFB8F8D4AFBAE511F3B44996B4A;3.0666;PA;Abaetetuba;0.0438;IRU;AT;Aguardando análise, não passível de revisão de dados
 PA-1500107-93E7E38033D64CF0A9D4C30A5FD56FF6;4.4922;PA;Abaetetuba;0.0642;IRU;AT;Aguardando analise
 PA-1500107-0989204DF8994C5EB9FB56A32CCD4BBC;0.5581;PA;Abaetetuba;0.0080;IRU;AT;Aguardando analise
 PA-1500107-6B12A4AFCDC94CA9A4EFD1B9A3B77393;18.3159;PA;Abaetetuba;0.2617;IRU;AT;Aguardando analise
 PA-1500107-636E5EBEAA6B45D481F1804F84809687;44.7237;PA;Abaetetuba;0.6389;IRU;AT;Aguardando análise, não passível de revisão de dados
 PA-1500107-75BD8BA00FE84614B701BF393C8A7060;8.7710;PA;Abaetetuba;0.1253;IRU;AT;Aguardando análise, não passível de revisão de dados
 PA-1500107-6A29F1DF9AFD4A5BB171D83C23C21E5B;5.3469;PA;Abaetetuba;0.0764;IRU;AT;Aguardando análise, não passível de revisão de dados
 PA-1500107-8335FED01D6F4B24B45E7060728D434D;1.2191;PA;Abaetetuba;0.0174;IRU;AT;Aguardando analise
 PA-1500107-23B69DFCB7BD4ABA8E5B180EE90A1B53;3.0633;PA;Abaetetuba;0.0438;IRU;AT;Aguardando análise, não passível de revisão de dados
 PA-1500107-4596D73106FA410FB0940F766E64A57B;37.0246;PA;Abaetetuba;0.5289;IRU;AT;Aguardando analise
 PA-1500107-6992C99DF7DA4EDDB09D2F8E2D5C628A;2.4973;PA;Abaetetuba;0.0357;IRU;AT;Aguardando analise
 PA-1500107-6503611FE80B4AF0B40EDC11C4D6E3FB;7.3965;PA;Abaetetuba;0.1057;IRU;AT;Aguardando analise
 PA-1500107-59350B0E5B79423099F3177C5F2D3C76;23.4175;PA;Abaetetuba;0.3345;IRU;AT;Aguardando analise
 PA-1500107-5E037E7B76F6460F9E99480B19E6B73A;32.4846;PA;Abaetetuba;0.4641;IRU;AT;Aguardando analise
 PA-1500107-B19733C46D1749D9A725171FECCB2664;0.8278;PA;Abaetetuba;0.0118;IRU;AT;Aguardando analise
 PA-1500107-F36620AB180F4A0694541FEBCFB3F6F9;0.7357;PA;Abaetetuba;0.0105;IRU;AT;Aguardando analise
 PA-1500107-1CF33D7EBD3E425F8F402FCDFEB3C9C4;2.0138;PA;Abaetetuba;0.0288;IRU;AT;Aguardando analise
 PA-1500107-A41DD9DC5D464B53AC133DEF2BB74EA6;26.2079;PA;Abaetetuba;0.3744;IRU;AT;Aguardando analise
 PA-1500107-E4C2DC5FCEB94035B36B074D66CB4E3B;19.4104;PA;Abaetetuba;0.2773;IRU;AT;Aguardando analise
 PA-1500107-D99604A336434E7D9A281421013DC2F2;4.4775;PA;Abaetetuba;0.0640;IRU;AT;Aguardando analise
 PA-1500107-2A9185CA7EA746EEB6337C9FF00A351B;6.2692;PA;Abaetetuba;0.0896;IRU;AT;Aguardando analise
 PA-1500107-8CC314C0F83E492FB397725DCCED4AE6;94.8604;PA;Abaetetuba;1.3551;IRU;AT;Aguardando analise
 PA-1500107-94AA914078E74707AA125E85A807585F;14.0944;PA;Abaetetuba;0.2013;IRU;AT;Aguardando analise
 PA-1500107-202D9329D50E43A38486D7D4095F37E0;12.2612;PA;Abaetetuba;0.1752;IRU;AT;Aguardando analise
 PA-1500107-F6627AFEDF664875BF4B86D67915E7B5;74.3987;PA;Abaetetuba;1.0628;IRU;AT;Aguardando analise
 PA-1500107-5FB5D821E23F44709CFBDE11F610C321;68.4296;PA;Abaetetuba;0.9776;IRU;AT;Aguardando analise
 PA-1500107-54F5A0F710DD4C89B764D4AEE77BEB4E;0.9685;PA;Abaetetuba;0.0138;IRU;AT;Aguardando analise
 PA-1500107-1BDB0AC3F7A542A2AA4C2D29BAE11E80;1.9568;PA;Abaetetuba;0.0280;IRU;AT;Aguardando analise
 PA-1500107-E37B156A179448FEA5DE3C50FB488DDC;3.2468;PA;Abaetetuba;0.0464;IRU;AT;Aguardando analise
 PA-1500107-E810F1C7940C4235AAEA7EBCF7C88188;66.4935;PA;Abaetetuba;0.9499;IRU;AT;Aguardando analise
 PA-1500107-E2706E6FD5DF4E4685F2CA133A3190F4;88.2009;PA;Abaetetuba;1.2600;IRU;AT;Aguardando analise
 PA-1500107-54306BA9700542E293FC6D55546C0896;0.8638;PA;Abaetetuba;0.0123;IRU;AT;Aguardando analise
 PA-1500107-3F3007F3EA544F86AEB0130DBDF70751;24.4238;PA;Abaetetuba;0.3489;IRU;AT;Aguardando analise
 PA-1500107-E287D78FF7CC4BA08CC383E198D72822;24.1533;PA;Abaetetuba;0.3450;IRU;AT;Aguardando analise
 PA-1500107-12EF27EB6968453D82E0F197E2153EB8;3.1459;PA;Abaetetuba;0.0449;IRU;AT;Aguardando analise
 PA-1500107-771E68B15F97451A9B9D8B15796A0756;542.2693;PA;Abaetetuba;7.7467;IRU;PE;ANALISADO_COM_PENDENCIAS_AGUARDANDO_RETIFICACAO
 PA-1500107-4BC894B3D4EB405B8873471636319090;1.4445;PA;Abaetetuba;0.0206;IRU;AT;Aguardando analise
 PA-1500107-DFDB0459419B45D8B148F34E3E8E7386;151.1695;PA;Abaetetuba;2.1596;IRU;AT;Aguardando analise
 PA-1500107-4E83911FCA9043E6BDB83A028494036D;345.0390;PA;Abaetetuba;0.0448;AST;AT;Aguardando analise
 PA-1500107-F5F153A9F47A49DAAD726080123D3549;0.9486;PA;Abaetetuba;0.0136;IRU;AT;Aguardando analise
 PA-1500107-69C3CB40FF214741A9D0635478D9EEAF;34.0186;PA;Abaetetuba;0.4860;IRU;AT;Aguardando analise
 PA-1500107-56D8D9E6B2154E60B66CEA2940232306;1.8726;PA;Abaetetuba;0.0268;IRU;AT;Aguardando analise
 PA-1500107-F2C38BEF2C3047D19F4C427FF25CA3EC;6.0937;PA;Abaetetuba;0.0871;IRU;AT;Aguardando analise
 PA-1500107-1297D179D8D243A2B11B0DCD56B5E283;2.7421;PA;Abaetetuba;0.0392;IRU;AT;Aguardando analise
 PA-1500107-BFF52A172FA049A790E119BBBD9C20C6;97.2432;PA;Abaetetuba;1.3892;IRU;CA;CANCELADO_POR_DECISAO_ADMINISTRATIVA
 PA-1500107-BA64E6A891B4401EA1B89A14CC37B653;2731.6524;PA;Abaetetuba;0.2076;AST;PE;Aguardando analise
