Nr,Lat,Long,Latgms,Longms,Municipio,CodIbge,Estado,AreaKm2,Desmatado2020,Incremento20192020,Floresta2020,Nuvem2020,NaoObservado2020,NaoFloresta2020,Hidrografia2020,Soma 
 1,-6.84864,-49.25551,S 6 50 55.10,O 49 15 19.84,Xinguara,1508407,PA,3793,3382.5,1.5,392.9,0.0,0.0,0.0,17.6,100
 2,-3.19117,-51.87114,S 3 11 28.21,O 51 52 16.10,Vitória do Xingu,1508357,PA,3136,2011.2,7.8,975.2,0.1,0.0,0.1,149.4,99
 3,-1.09331,-46.26696,S 1 5 35.92,O 46 16 1.06,Viseu,1508308,PA,4971,3503.5,10.1,1323.7,11.1,0.0,45.4,87.3,100
 4,-0.91777,-48.11811,S 0 55 3.97,O 48 7 5.20,Vigia,1508209,PA,536,220.0,0.6,138.2,0.0,0.0,16.4,161.4,99
 5,-3.57633,-53.74101,S 3 34 34.79,O 53 44 27.64,Uruará,1508159,PA,10794,3776.1,133.5,7013.5,4.2,0.0,0.0,0.2,100
 6,-3.80187,-47.54701,S 3 48 6.73,O 47 32 49.24,Ulianópolis,1508126,PA,5122,3622.2,57.5,1495.7,4.1,0.0,0.0,0.0,100
 7,-3.79728,-49.80670,S 3 47 50.21,O 49 48 24.12,Tucuruí,1508100,PA,2095,849.8,8.7,762.4,0.0,0.0,4.7,478.1,99
 8,-6.81334,-51.41284,S 6 48 48.02,O 51 24 46.22,Tucumã,1508084,PA,2513,2303.5,2.6,200.9,1.0,0.0,0.0,7.6,99
 9,-5.10620,-55.93385,S 5 6 22.32,O 55 56 1.86,Trairão,1508050,PA,11997,1657.9,82.4,10236.0,0.0,0.0,1.1,102.0,99
 10,-0.92904,-46.93052,S 0 55 44.54,O 46 55 49.87,Tracuateua,1508035,PA,858,469.8,0.1,176.9,1.7,0.0,188.8,20.8,100
 11,-2.66028,-48.25818,S 2 39 37.01,O 48 15 29.45,Tomé-Açu,1508001,PA,5169,3037.5,16.1,2119.3,11.7,0.0,0.1,0.4,100
 12,-1.90481,-56.47418,S 1 54 17.32,O 56 28 27.05,Terra Santa,1507979,PA,1900,369.0,2.8,708.4,45.1,0.0,388.1,389.4,99
 13,-0.99347,-47.84850,S 0 59 36.49,O 47 50 54.60,Terra Alta,1507961,PA,209,172.7,0.2,36.3,0.0,0.0,0.0,0.0,100
 14,-2.90336,-48.78385,S 2 54 12.10,O 48 47 1.86,Tailândia,1507953,PA,4451,2343.2,37.6,2104.9,2.9,0.0,0.0,0.0,100
 15,-0.53599,-48.67721,S 0 32 9.56,O 48 40 37.96,Soure,1507904,PA,3528,35.3,0.0,226.8,32.1,0.0,2502.9,730.9,100
 16,-3.55820,-51.73873,S 3 33 29.52,O 51 44 19.43,Senador José Porfírio,1507805,PA,14389,1568.2,147.7,12348.6,0.0,0.0,84.9,387.3,100
 17,-6.83358,-49.56823,S 6 50 0.89,O 49 34 5.63,Sapucaia,1507755,PA,1300,1174.5,3.8,125.5,0.0,0.0,0.0,0.0,100
 18,-1.43102,-49.60420,S 1 25 51.67,O 49 36 15.12,São Sebastião da Boa Vista,1507706,PA,1636,124.5,0.4,1217.9,2.6,0.0,175.1,115.9,99
 19,-1.55275,-47.62771,S 1 33 9.90,O 47 37 39.76,São Miguel do Guamá,1507607,PA,1117,891.6,0.7,178.0,0.0,0.0,15.2,32.2,99
 20,-5.44170,-48.67711,S 5 26 30.12,O 48 40 37.60,São João do Araguaia,1507508,PA,1288,950.4,4.8,147.8,0.0,0.0,73.7,116.1,100
 21,-0.77509,-47.26758,S 0 46 30.32,O 47 16 3.29,São João de Pirabas,1507474,PA,703,213.2,0.6,386.0,9.5,0.0,12.9,81.4,99
 22,-0.86850,-47.96322,S 0 52 6.60,O 47 57 47.59,São João da Ponta,1507466,PA,197,111.3,0.6,72.7,0.0,0.0,1.7,11.3,100
 23,-6.16889,-48.75597,S 6 10 8.00,O 48 45 21.49,São Geraldo do Araguaia,1507458,PA,3181,2506.2,1.3,331.4,0.1,0.0,314.1,29.2,100
 24,-1.20761,-47.74858,S 1 12 27.40,O 47 44 54.89,São Francisco do Pará,1507409,PA,480,418.3,0.2,60.3,0.0,0.0,1.3,0.1,100
 25,-7.46114,-52.46225,S 7 27 40.10,O 52 27 44.10,São Félix do Xingu,1507300,PA,84253,19886.2,608.4,59631.6,8.2,0.0,3788.0,939.0,100
