datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2020/11/28 17:15:00,AQUA_M-T,Brasil,PARA,ALENQUER,Amazonia,0,0,0.3,-1.797,-54.735,16.8
2020/11/28 17:15:00,AQUA_M-T,Brasil,PARA,TERRA SANTA,Amazonia,2,0,0.1,-1.99,-56.539,11.1
2020/11/28 17:15:00,AQUA_M-T,Brasil,PARA,ORIXIMINA,Amazonia,1,0.6,0.1,-1.535,-56.187,12
2020/11/28 17:15:00,AQUA_M-T,Brasil,PARA,ALENQUER,Amazonia,2,0,0,-1.517,-54.455,7.6
2020/11/28 17:15:00,AQUA_M-T,Brasil,PARA,MONTE ALEGRE,Amazonia,2,0,0.8,-1.806,-54.347,8.5
2020/11/28 17:15:00,AQUA_M-T,Brasil,PARA,OBIDOS,Amazonia,0,0,0.8,-1.841,-55.626,14.4
2020/11/28 17:15:00,AQUA_M-T,Brasil,PARA,CURUA,Amazonia,1,0,0.6,-1.807,-55.065,28.9
2020/11/27 16:30:00,AQUA_M-T,Brasil,PARA,OURILANDIA DO NORTE,Amazonia,2,3.8,0.3,-7.263,-50.655,24.4
2020/11/27 16:35:00,AQUA_M-T,Brasil,PARA,CAPITAO POCO,Amazonia,0,15.9,0,-1.591,-47.022,8.7
2020/11/28 17:15:00,AQUA_M-T,Brasil,PARA,OBIDOS,Amazonia,0,0,0.1,-1.827,-55.208,39.6
2020/11/28 17:15:00,AQUA_M-T,Brasil,PARA,OBIDOS,Amazonia,0,0,0.1,-1.902,-55.273,58.9
2020/11/28 17:15:00,AQUA_M-T,Brasil,PARA,ALENQUER,Amazonia,0,0,0.6,-1.785,-54.718,9.7
2020/11/28 17:15:00,AQUA_M-T,Brasil,PARA,OBIDOS,Amazonia,0,0,0.5,-1.71,-55.548,6.8
2020/11/28 17:15:00,AQUA_M-T,Brasil,PARA,TERRA SANTA,Amazonia,2,0,0.1,-1.972,-56.542,15.2
2020/11/28 17:15:00,AQUA_M-T,Brasil,PARA,ORIXIMINA,Amazonia,1,1,0,-1.375,-56.094,5.6
2020/11/28 17:15:00,AQUA_M-T,Brasil,PARA,ORIXIMINA,Amazonia,0,1.1,0,-1.376,-56.103,6.8
2020/11/28 17:15:00,AQUA_M-T,Brasil,PARA,ORIXIMINA,Amazonia,0,1.2,0,-1.314,-56.118,12.5
2020/11/28 17:15:00,AQUA_M-T,Brasil,PARA,ALENQUER,Amazonia,2,0,0.3,-1.571,-54.45,7.1
2020/11/28 17:15:00,AQUA_M-T,Brasil,PARA,OBIDOS,Amazonia,0,0,0.3,-1.732,-55.502,16.9
2020/11/28 17:15:00,AQUA_M-T,Brasil,PARA,ORIXIMINA,Amazonia,1,0.6,0.1,-1.534,-56.178,5.2
2020/11/28 17:15:00,AQUA_M-T,Brasil,PARA,TERRA SANTA,Amazonia,2,0,0.1,-1.973,-56.551,31.9
2020/11/28 17:15:00,AQUA_M-T,Brasil,PARA,ALENQUER,Amazonia,2,0,0,-1.499,-54.775,10
2020/11/28 17:15:00,AQUA_M-T,Brasil,PARA,ORIXIMINA,Amazonia,2,0.1,0.1,-1.482,-55.812,25.4
2020/11/28 17:15:00,AQUA_M-T,Brasil,PARA,ALENQUER,Amazonia,1,0,0.1,-2.004,-54.571,10.8
2020/11/28 17:15:00,AQUA_M-T,Brasil,PARA,SANTAREM,Amazonia,2,0,0.2,-2.373,-55.294,7.9
2020/11/28 17:15:00,AQUA_M-T,Brasil,PARA,SANTAREM,Amazonia,2,0,0.2,-2.844,-54.341,7.4
2020/11/28 17:15:00,AQUA_M-T,Brasil,PARA,PLACAS,Amazonia,1,0,0.2,-3.827,-54.39,24
2020/11/28 17:15:00,AQUA_M-T,Brasil,PARA,ITAITUBA,Amazonia,2,0.9,0.1,-3.952,-55.91,7.2
2020/11/28 17:15:00,AQUA_M-T,Brasil,PARA,URUARA,Amazonia,2,0,0.2,-3.796,-53.675,9
2020/11/28 17:15:00,AQUA_M-T,Brasil,PARA,NOVO PROGRESSO,Amazonia,2,0.6,0,-6.744,-55.303,10.7
2020/11/28 17:15:00,AQUA_M-T,Brasil,PARA,RUROPOLIS,Amazonia,0,0,0.1,-4.19,-55.128,20.6
2020/11/28 17:15:00,AQUA_M-T,Brasil,PARA,AVEIRO,Amazonia,0,0.9,0.1,-3.76,-55.987,5.8
