"nome_mesoreg";"DIMENSAO";"bs_mean";"nMun";"nExec";"munAmostrados"
"Nordeste Paraense";"DIM_AMBIENTAL";45,7255555555556;3;1;"1501204,1504059,1508001"
"Nordeste Paraense";"DIM_ECONOMICA";47,1983333333333;3;1;"1501204,1504059,1508001"
"Nordeste Paraense";"DIM_SOCIAL";49,1273333333333;3;1;"1501204,1504059,1508001"
"Sudeste Paraense";"DIM_AMBIENTAL";44,1277777777778;3;1;"1504976,1501576,1502939"
"Sudeste Paraense";"DIM_ECONOMICA";51,9826666666667;3;1;"1504976,1501576,1502939"
"Sudeste Paraense";"DIM_SOCIAL";45,1806666666667;3;1;"1504976,1501576,1502939"
"Marajó";"DIM_AMBIENTAL";48,3811111111111;3;1;"1502509,1503101,1506401"
"Marajó";"DIM_ECONOMICA";39,7556666666667;3;1;"1502509,1503101,1506401"
"Marajó";"DIM_SOCIAL";35,76;3;1;"1502509,1503101,1506401"
"Baixo Amazonas";"DIM_AMBIENTAL";37,2266666666667;3;1;"1504802,1503002,1505650"
"Baixo Amazonas";"DIM_ECONOMICA";41,4086666666667;3;1;"1504802,1503002,1505650"
"Baixo Amazonas";"DIM_SOCIAL";43,2726666666667;3;1;"1504802,1503002,1505650"
"Sudoeste Paraense";"DIM_AMBIENTAL";40,9216666666667;3;1;"1500602,1501006,1503754"
"Sudoeste Paraense";"DIM_ECONOMICA";43,9563333333333;3;1;"1500602,1501006,1503754"
"Sudoeste Paraense";"DIM_SOCIAL";40,5846666666667;3;1;"1500602,1501006,1503754"
"Metropolitana de Belém";"DIM_AMBIENTAL";51,1816666666667;3;1;"1501402,1507003,1501907"
"Metropolitana de Belém";"DIM_ECONOMICA";46,467;3;1;"1501402,1507003,1501907"
"Metropolitana de Belém";"DIM_SOCIAL";56,8313333333333;3;1;"1501402,1507003,1501907"
"Nordeste Paraense";"DIM_AMBIENTAL";55,106;5;1;"1504000,1504109,1506104,1505205,1505007"
"Nordeste Paraense";"DIM_ECONOMICA";37,5266;5;1;"1504000,1504109,1506104,1505205,1505007"
"Nordeste Paraense";"DIM_SOCIAL";47,0188;5;1;"1504000,1504109,1506104,1505205,1505007"
"Sudeste Paraense";"DIM_AMBIENTAL";51,0283333333333;5;1;"1505635,1508100,1504976,1501576,1507755"
"Sudeste Paraense";"DIM_ECONOMICA";52,1138;5;1;"1505635,1508100,1504976,1501576,1507755"
"Sudeste Paraense";"DIM_SOCIAL";48,1952;5;1;"1505635,1508100,1504976,1501576,1507755"
"Marajó";"DIM_AMBIENTAL";50,6643333333333;5;1;"1507706,1506302,1500701,1507904,1502509"
"Marajó";"DIM_ECONOMICA";38,4578;5;1;"1507706,1506302,1500701,1507904,1502509"
"Marajó";"DIM_SOCIAL";43,3448;5;1;"1507706,1506302,1500701,1507904,1502509"
"Baixo Amazonas";"DIM_AMBIENTAL";46,699;5;1;"1506807,1502855,1500503,1503903,1505650"
"Baixo Amazonas";"DIM_ECONOMICA";44,1328;5;1;"1506807,1502855,1500503,1503903,1505650"
"Baixo Amazonas";"DIM_SOCIAL";42,5696;5;1;"1506807,1502855,1500503,1503903,1505650"
"Sudoeste Paraense";"DIM_AMBIENTAL";38,8206666666667;5;1;"1503606,1501006,1503754,1506195,1505486"
"Sudoeste Paraense";"DIM_ECONOMICA";41,5464;5;1;"1503606,1501006,1503754,1506195,1505486"
"Sudoeste Paraense";"DIM_SOCIAL";38,662;5;1;"1503606,1501006,1503754,1506195,1505486"
"Metropolitana de Belém";"DIM_AMBIENTAL";65,586;5;1;"1507003,1501501,1504422,1502400,1501402"
"Metropolitana de Belém";"DIM_ECONOMICA";58,0146;5;1;"1507003,1501501,1504422,1502400,1501402"
"Metropolitana de Belém";"DIM_SOCIAL";62,24;5;1;"1507003,1501501,1504422,1502400,1501402"
