"nome_mesoreg";"DIMENSAO";"bs_mean";"nMun";"nExec";"munAmostrados"
"Grupo 2";"%";37,2681818181818;3;1;"1501956,1507409,1507201"
"Grupo 2";"% ";34,6466666666667;3;1;"1501956,1507409,1507201"
"Grupo 2";"% da população emdomicílios";73,6266666666667;3;1;"1501956,1507409,1507201"
"Grupo 2";"% da população emdomicílios ";20,7266666666667;3;1;"1501956,1507409,1507201"
"Grupo 2";"0 a 1 ";46,63;3;1;"1501956,1507409,1507201"
"Grupo 2";"Mortes/1.000 habitantes ";57,5733333333333;3;1;"1501956,1507409,1507201"
"Grupo 2";"Valor (R$ mil)";44,4733333333333;3;1;"1501956,1507409,1507201"
"Grupo 3";"%";45,1863636363636;3;1;"1502772,1501253,1500859"
"Grupo 3";"% ";35,065;3;1;"1502772,1501253,1500859"
"Grupo 3";"% da população emdomicílios";37;3;1;"1502772,1501253,1500859"
"Grupo 3";"% da população emdomicílios ";27,9766666666667;3;1;"1502772,1501253,1500859"
"Grupo 3";"0 a 1 ";42,37;3;1;"1502772,1501253,1500859"
"Grupo 3";"Mortes/1.000 habitantes ";59,73;3;1;"1502772,1501253,1500859"
"Grupo 3";"Valor (R$ mil)";63,0533333333333;3;1;"1502772,1501253,1500859"
"Grupo 1";"%";43,3278787878788;3;1;"1506005,1506302,1505700"
"Grupo 1";"% ";52,1833333333333;3;1;"1506005,1506302,1505700"
"Grupo 1";"% da população emdomicílios";21,1066666666667;3;1;"1506005,1506302,1505700"
"Grupo 1";"% da população emdomicílios ";26,0466666666667;3;1;"1506005,1506302,1505700"
"Grupo 1";"0 a 1 ";32,7411111111111;3;1;"1506005,1506302,1505700"
"Grupo 1";"Mortes/1.000 habitantes ";57,91;3;1;"1506005,1506302,1505700"
"Grupo 1";"Valor (R$ mil)";49,9166666666667;3;1;"1506005,1506302,1505700"
"Grupo 2";"%";50,0056363636364;5;1;"1504059,1504307,1506104,1502905,1502756"
"Grupo 2";"% ";42,75;5;1;"1504059,1504307,1506104,1502905,1502756"
"Grupo 2";"% da população emdomicílios";43,716;5;1;"1504059,1504307,1506104,1502905,1502756"
"Grupo 2";"% da população emdomicílios ";35,238;5;1;"1504059,1504307,1506104,1502905,1502756"
"Grupo 2";"0 a 1 ";36,3246666666667;5;1;"1504059,1504307,1506104,1502905,1502756"
"Grupo 2";"Mortes/1.000 habitantes ";55,228;5;1;"1504059,1504307,1506104,1502905,1502756"
"Grupo 2";"Valor (R$ mil)";51,28;5;1;"1504059,1504307,1506104,1502905,1502756"
"Grupo 3";"%";52,2938181818182;5;1;"1502152,1508100,1505486,1507508,1502707"
"Grupo 3";"% ";42,609;5;1;"1502152,1508100,1505486,1507508,1502707"
"Grupo 3";"% da população emdomicílios";57,848;5;1;"1502152,1508100,1505486,1507508,1502707"
"Grupo 3";"% da população emdomicílios ";37,752;5;1;"1502152,1508100,1505486,1507508,1502707"
"Grupo 3";"0 a 1 ";41,844;5;1;"1502152,1508100,1505486,1507508,1502707"
"Grupo 3";"Mortes/1.000 habitantes ";56,49;5;1;"1502152,1508100,1505486,1507508,1502707"
"Grupo 3";"Valor (R$ mil)";66,044;5;1;"1502152,1508100,1505486,1507508,1502707"
"Grupo 1";"%";43,7294545454545;5;1;"1503002,1501105,1505700,1501451,1505304"
"Grupo 1";"% ";55,283;5;1;"1503002,1501105,1505700,1501451,1505304"
"Grupo 1";"% da população emdomicílios";30,628;5;1;"1503002,1501105,1505700,1501451,1505304"
"Grupo 1";"% da população emdomicílios ";15,167;5;1;"1503002,1501105,1505700,1501451,1505304"
"Grupo 1";"0 a 1 ";40,6446666666667;5;1;"1503002,1501105,1505700,1501451,1505304"
"Grupo 1";"Mortes/1.000 habitantes ";56,722;5;1;"1503002,1501105,1505700,1501451,1505304"
"Grupo 1";"Valor (R$ mil)";50,282;5;1;"1503002,1501105,1505700,1501451,1505304"
"Grupo 2";"%";48,3914285714286;7;1;"1508035,1506500,1506609,1502202,1500909,1501600,1504703"
"Grupo 2";"% ";35,5778571428571;7;1;"1508035,1506500,1506609,1502202,1500909,1501600,1504703"
"Grupo 2";"% da população emdomicílios";57,5271428571429;7;1;"1508035,1506500,1506609,1502202,1500909,1501600,1504703"
"Grupo 2";"% da população emdomicílios ";31,8128571428571;7;1;"1508035,1506500,1506609,1502202,1500909,1501600,1504703"
"Grupo 2";"0 a 1 ";40,9361904761905;7;1;"1508035,1506500,1506609,1502202,1500909,1501600,1504703"
"Grupo 2";"Mortes/1.000 habitantes ";57,1928571428571;7;1;"1508035,1506500,1506609,1502202,1500909,1501600,1504703"
"Grupo 2";"Valor (R$ mil)";52,3914285714286;7;1;"1508035,1506500,1506609,1502202,1500909,1501600,1504703"
"Grupo 3";"%";45,6915584415584;7;1;"1507755,1508126,1505635,1501006,1507508,1500131,1507805"
"Grupo 3";"% ";36,5207142857143;7;1;"1507755,1508126,1505635,1501006,1507508,1500131,1507805"
"Grupo 3";"% da população emdomicílios";54,3014285714286;7;1;"1507755,1508126,1505635,1501006,1507508,1500131,1507805"
"Grupo 3";"% da população emdomicílios ";30,6792857142857;7;1;"1507755,1508126,1505635,1501006,1507508,1500131,1507805"
"Grupo 3";"0 a 1 ";41,0647619047619;7;1;"1507755,1508126,1505635,1501006,1507508,1500131,1507805"
"Grupo 3";"Mortes/1.000 habitantes ";56,4428571428571;7;1;"1507755,1508126,1505635,1501006,1507508,1500131,1507805"
"Grupo 3";"Valor (R$ mil)";60,2985714285714;7;1;"1507755,1508126,1505635,1501006,1507508,1500131,1507805"
"Grupo 1";"%";42,8125974025974;7;1;"1502806,1503101,1507904,1505304,1501451,1504901,1505908"
"Grupo 1";"% ";54,3928571428571;7;1;"1502806,1503101,1507904,1505304,1501451,1504901,1505908"
"Grupo 1";"% da população emdomicílios";41,7628571428571;7;1;"1502806,1503101,1507904,1505304,1501451,1504901,1505908"
"Grupo 1";"% da população emdomicílios ";16,0628571428571;7;1;"1502806,1503101,1507904,1505304,1501451,1504901,1505908"
